     t   Part   Pven IMPLAD
0.36500 5649.57250 2675.52204 3169.31251
0.36600 5642.03192 2675.74906 3048.82306
0.36700 5634.60917 2675.97606 2932.91793
0.36800 5627.30216 2676.20304 2821.42535
0.36900 5620.10882 2676.43000 2714.17991
0.37000 5613.02712 2676.65692 2611.02299
0.37100 5606.05508 2676.88383 2511.80165
0.37200 5599.19073 2677.11070 2416.36884
0.37300 5592.43217 2677.33755 2324.58279
0.37400 5585.77749 2677.56438 2236.30661
0.37500 5579.22485 2677.79117 2151.40879
0.37600 5572.77243 2678.01794 2069.76272
0.37700 5566.41845 2678.24467 1991.24665
0.37800 5560.16114 2678.47138 1915.74320
0.37900 5553.99878 2678.69806 1843.13865
0.38000 5547.92969 2678.92470 1773.32392
0.38100 5541.95219 2679.15132 1706.19391
0.38200 5536.06466 2679.37790 1641.64745
0.38300 5530.26550 2679.60445 1579.58706
0.38400 5524.55312 2679.83097 1519.91884
0.38500 5518.92598 2680.05745 1462.55231
0.38600 5513.38257 2680.28390 1407.40034
0.38700 5507.92138 2680.51031 1370.48905
0.38800 5502.54096 2680.73669 1355.84081
0.38900 5497.23987 2680.96304 1347.66236
0.39000 5492.01668 2681.18935 1343.90463
0.39100 5486.87002 2681.41562 1343.29288
0.39200 5481.79852 2681.64186 1345.19892
0.39300 5476.80085 2681.86806 1349.41732
0.39400 5471.87568 2682.09422 1356.02305
0.39500 5467.02172 2682.32035 1365.27892
0.39600 5462.23771 2682.54643 1377.56994
0.39700 5457.52241 2682.77248 1393.34877
0.39800 5452.87458 2682.99849 1413.08348
0.39900 5448.29303 2683.22446 1437.20452
0.40000 5443.77657 2683.45039 1466.04974
0.40100 5439.32405 2683.67628 1499.80874
0.40200 5434.93433 2683.90213 1538.47279
0.40300 5430.60629 2684.12793 1581.80088
0.40400 5426.33883 2684.35370 1629.31163
0.40500 5422.13088 2684.57943 1680.30599
0.40600 5417.98137 2684.80512 1733.91916
0.40700 5413.88927 2685.03074 1789.19466
0.40800 5409.85355 2685.25640 1845.16778
0.40900 5405.87321 2685.48180 1900.94396
0.41000 5401.94726 2685.70763 1955.75917
0.41100 5398.07475 2685.93277 2009.01462
0.41200 5394.25471 2686.15679 2060.28526
0.41300 5390.48621 2686.39521 2109.30681
0.41400 5386.76834 2686.31263 2155.94955
0.41500 5383.10020 2685.55687 2200.18673
0.41600 5379.48089 2684.24777 2242.06382
0.41700 5375.90956 2682.53527 2281.67222
0.41800 5372.38535 2680.49162 2319.12892
0.41900 5368.90740 2678.17766 2354.56174
0.42000 5365.47490 2675.63384 2388.09696
0.42100 5362.08703 2672.89224 2419.86618
0.42200 5358.74300 2669.97910 2449.98548
0.42300 5355.44201 2666.91836 2478.56265
0.42400 5352.18330 2663.73356 2505.69112
0.42500 5348.96611 2660.44922 2531.46580
0.42600 5345.78969 2657.09160 2555.97945
0.42700 5342.65331 2653.68889 2579.29733
0.42800 5339.55625 2650.27101 2601.50188
0.42900 5336.49780 2646.86896 2622.64990
0.43000 5333.47728 2643.51406 2642.80290
0.43100 5330.49400 2640.23680 2662.01509
0.43200 5327.54729 2637.06576 2680.33812
0.43300 5324.63649 2634.02643 2697.81974
0.43400 5321.76097 2631.14026 2714.50477
0.43500 5318.92008 2628.42383 2730.43510
0.43600 5316.11321 2625.88848 2745.65003
0.43700 5313.33974 2623.54014 2760.18641
